"extid","qty","price"
"497529","1","1"
"497552","1","1"
"497563","1","1"
"497640","1","9.99"
"498362","1","5.75"
"498526","1","0.33"
"498537","1","0.33"
"498548","1","0.33"
"498890","1","8.99"
"499084","1","0.2"
"503602","1","1.15"
"507051","1","1.15"
"507402","1","1.15"
"555557","1","0.75"
"577601","1","1.37"
"603119","1","1.39"
"606703","1","0.75"
"608202","1","1.85"
"611514","1","2.09"
"621924","1","1.29"
"655910","1","1.15"
"671853","1","0.55"
"700560","1","2.99"
"753412","1","0.65"
"753610","1","0.79"
"754310","1","1.35"
"763019","1","1.29"
"769725","1","0.5"
"781604","1","0.85"
"781659","1","0.85"
"781703","1","0.85"
"784111","1","0.69"
"784760","1","0.69"
"795001","1","0.39"
"838456","1","0.1"
"843960","1","1.19"
"856755","1","1.55"
"865508","1","0.75"
"866956","1","1.5"
"891268","1","1.25"
"893712","1","1.89"
"893910","1","1.89"
"894302","1","1.69"
"897369","1","2.69"
"977319","1","1.69"
"998411","1","1.78"
"998619","1","1.78"
"017554","1","7.12"
"AB0014","1","0.74"
"AB0017","1","0.85"
"AB0023","1","0.85"
"AB0040","1","0.89"
"AB0060","1","0.65"
"AB0063","1","2.79"
"AB0064","1","0.61"
"AB0079","1","0.6"
"AB0082","1","0.68"
"AB0135","1","0.85"
"AB0151","1","0.75"
"AB0172","1","0.75"
"AB0180","1","0.79"
"AB0181","1","0.77"
"AB0190","1","6.75"
"AB0343","1","0.69"
"AB0445","1","0.7"
"AB0453","1","0.69"
"AB0478","1","0.64"
"AB0479","1","0.69"
"AB0485","1","0.89"
"AB0491","1","0.65"
"AB0501","1","0.95"
"AB0507","1","0.99"
"AB0511","1","0.99"
"AB0519","1","1.09"
"AB0520","1","0.59"
"AB0660","1","0.52"
"AB1121","1","0.89"
"AB1254","1","0.78"
"AB1305","1","0.85"
"AB1318","1","0.85"
"AB1515","1","1"
"AB1525","1","1"
"AB1529","1","0.78"
"AB1535","1","0.89"
"AB2149","1","1.19"
"AB2227","1","0.89"
"AB2555","1","0.65"
"AB2601","1","0.89"
"AB2603","1","0.89"
"AB2693","1","0.85"
"AB3281","1","1.09"
"AB3290","1","1.09"
"AB3493","1","0.89"
"AB3494","1","0.89"
"AB3508","1","0.89"
"AB3510","1","0.99"
"AB3511","1","1.09"
"AB4470","1","0.72"
"AB4471","1","0.72"
"AB4517","1","0.89"
"AB5256","1","1.89"
"AB5258","1","0.89"
"AB5439","1","0.9"
"AB5569","1","0.89"
"AB5570","1","0.89"
"AB5714","1","0.89"
"BR0172","1","0.59"
"BR0173","1","0.59"
"BR0174","1","0.45"
"BR0175","1","0.69"
"BR0176","1","0.49"
"BR0177","1","0.69"
"BR0178","1","0.49"
"BR0179","1","0.19"
"BR0180","1","0.49"
"BR0181","1","0.65"
"BR0182","1","0.49"
"BR0183","1","0.49"
"BR0184","1","0.49"
"BR0185","1","0.49"
"BR0186","1","0.69"
"BR0187","1","1.29"
"BR0188","1","0.89"
"BR0189","1","0.99"
"BR0190","1","0.99"
"BR0191","1","0.69"
"BR0192","1","0.39"
"BR0193","1","0.69"
"PE0036","1","0.79"
"PE0037","1","0.69"
"PE0038","1","0.79"
"PE0039","1","0.75"
"PE0040","1","0.75"
"PE0041","1","0.59"
"PE0042","1","0.89"
"PE0043","1","0.75"
"PE0044","1","0.79"
"PE0045","1","0.65"
"PE0046","1","0.79"
"PE0047","1","0.65"
"PE0048","1","0.65"
"PE0049","1","0.65"
"PE0050","1","0.59"
"PE0051","1","1.35"
"PE0052","1","0.75"
"PE0053","1","1.29"
"PE0054","1","0.69"
"RA0055","1","0.45"
"RA0056","1","0.44"
"RA0057","1","0.44"
"RA0058","1","0.49"
"RA0059","1","0.49"
"RA0060","1","0.39"
"RA0061","1","0.49"
"RA0062","1","0.69"
"RA0063","1","0.69"
"RA0064","1","0.79"
"RA0065","1","0.79"
"RA0066","1","0.79"
"RA0067","1","0.55"
"RA0068","1","0.55"
"RA0069","1","0.55"
"RA0070","1","0.89"
"RA0071","1","0.89"
"RA0072","1","0.59"
"RA0073","1","0.69"
"RA0074","1","0.49"
"RA0075","1","0.69"
"RA0076","1","0.69"
"RA0077","1","0.79"
"SO0156","1","0.39"
"SO0157","1","0.59"
"SO0158","1","1.09"
"SO0159","1","1.59"
"SO0162","1","0.39"
"SO0163","1","0.59"
"SO0164","1","1.09"
"SO0165","1","1.59"
"SO0168","1","0.39"
"SO0169","1","0.59"
"SO0170","1","1.09"
"SO0171","1","0.65"
"WA0001","1","1.39"
"WA0002","1","0.94"
"WA0003","1","1.39"
"WA0008","1","1.19"
"WA0011","1","0.98"
"WA0012","1","1.03"
"WA0013","1","0.79"
"WA0014","1","1.01"
"WA0015","1","1.59"
"WA0016","1","0.99"
"WA0017","1","0.99"
"WA0018","1","1.06"
"WA0019","1","0.99"
"WA0020","1","1.09"
"WA0022","1","0.7"
"WA0023","1","0.98"
"WA0024","1","0.68"
"WA0025","1","0.69"
"WA0027","1","0.99"
"WA0028","1","0.64"
"WA0029","1","1.13"
"WA0030","1","0.82"
"WA0032","1","0.7"
"WA0033","1","1.39"
"WA0034","1","1.13"
"WA0035","1","0.79"
"WA0036","1","0.99"
"WA0037","1","0.79"
"WA0040","1","0.77"
"WA0041","1","0.77"
"WA0042","1","0.7"
"WA0043","1","0.73"
"WA0045","1","0.82"
"WA0046","1","1.79"
"WA0047","1","1.07"
"WA0050","1","0.99"
"WA0051","1","0.99"
"WA0052","1","0.99"
"WA0055","1","1.38"
"WA0056","1","0.68"
"WA0060","1","1"
"WA0061","1","1.19"
"WA0064","1","0.99"
"WA0066","1","0.89"
"WA0070","1","0.83"
"WA0071","1","0.79"
"WA0073","1","0.83"
"WA0074","1","1.45"
"WA0076","1","0.78"
"WA0077","1","1"
"WA0078","1","1"
"WA0080","1","1.71"
"WA0081","1","1.2"
"WA0087","1","0.79"
"WA0088","1","0.79"
"WA0089","1","0.89"
"WA0096","1","0.9"
"WA0098","1","0.78"
"WA0099","1","0.88"
"000101","1","0.65"
"000134","1","1.19"
"000156","1","1.95"
"000255","1","4.65"
"000464","1","0.6"
"000507","1","0.65"
